state,district,date,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
100000,100000,2025-03-01,,,,,,,
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-03-01,,,,,,16.0,193.0
ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-03-01,,,,,,,
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2025-03-01,,,,,,,
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2025-03-01,,,,32.0,360.0,178.0,101.0
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2025-03-01,,,,20.0,402.0,470.0,347.0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,2025-03-01,,,,74.0,450.0,948.0,450.0
ANDHRA PRADESH,ADILABAD,2025-03-01,,,,390.0,3950.0,897.0,4366.0
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2025-03-01,,,,507.0,4448.0,585.0,1408.0
ANDHRA PRADESH,ANAKAPALLI,2025-03-01,,,,373.0,2791.0,218.0,234.0
ANDHRA PRADESH,ANANTAPUR,2025-03-01,,,,953.0,19013.0,3363.0,6499.0
ANDHRA PRADESH,ANANTHAPUR,2025-03-01,,,,2020.0,7310.0,11722.0,2215.0
ANDHRA PRADESH,ANANTHAPURAMU,2025-03-01,,,,2547.0,7891.0,14063.0,2087.0
ANDHRA PRADESH,ANNAMAYYA,2025-03-01,,,,526.0,3272.0,235.0,270.0
ANDHRA PRADESH,BAPATLA,2025-03-01,,,,232.0,1653.0,114.0,131.0
ANDHRA PRADESH,CHITTOOR,2025-03-01,,,,4070.0,38298.0,18773.0,9414.0
ANDHRA PRADESH,CUDDAPAH,2025-03-01,,,,1786.0,16961.0,11599.0,5222.0
ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,2025-03-01,,,,240.0,2136.0,116.0,181.0
ANDHRA PRADESH,EAST GODAVARI,2025-03-01,,,,3391.0,37620.0,18286.0,11512.0
ANDHRA PRADESH,ELURU,2025-03-01,,,,283.0,2536.0,171.0,308.0
ANDHRA PRADESH,GUNTUR,2025-03-01,,,,3060.0,40302.0,19655.0,11604.0
ANDHRA PRADESH,HYDERABAD,2025-03-01,,,,695.0,6045.0,2070.0,9936.0
ANDHRA PRADESH,K.V. RANGAREDDY,2025-03-01,,,,,,11.0,6.0
ANDHRA PRADESH,K.V.RANGAREDDY,2025-03-01,,,,,,,
ANDHRA PRADESH,KAKINADA,2025-03-01,,,,638.0,4748.0,203.0,317.0
ANDHRA PRADESH,KARIM NAGAR,2025-03-01,,,,,,26.0,117.0
ANDHRA PRADESH,KARIMNAGAR,2025-03-01,,,,93.0,766.0,269.0,1150.0
ANDHRA PRADESH,KHAMMAM,2025-03-01,,,,431.0,4962.0,1070.0,2855.0
ANDHRA PRADESH,KRISHNA,2025-03-01,,,,1711.0,21831.0,16816.0,9887.0
ANDHRA PRADESH,KURNOOL,2025-03-01,,,,3650.0,31715.0,27662.0,10576.0
ANDHRA PRADESH,MAHABUB NAGAR,2025-03-01,,,,26.0,184.0,45.0,269.0
ANDHRA PRADESH,MAHABUBNAGAR,2025-03-01,,,,,,,
ANDHRA PRADESH,MAHBUBNAGAR,2025-03-01,,,,169.0,1133.0,274.0,1114.0
ANDHRA PRADESH,MEDAK,2025-03-01,,,,215.0,1387.0,421.0,1488.0
ANDHRA PRADESH,N. T. R,2025-03-01,,,,775.0,6936.0,380.0,740.0
ANDHRA PRADESH,NALGONDA,2025-03-01,,,,146.0,2240.0,292.0,1601.0
ANDHRA PRADESH,NANDYAL,2025-03-01,,,,339.0,2135.0,283.0,280.0
ANDHRA PRADESH,NELLORE,2025-03-01,,,,944.0,16115.0,5113.0,6240.0
ANDHRA PRADESH,NIZAMABAD,2025-03-01,,,,53.0,476.0,233.0,677.0
ANDHRA PRADESH,PALNADU,2025-03-01,,,,323.0,2765.0,293.0,311.0
ANDHRA PRADESH,PARVATHIPURAM MANYAM,2025-03-01,,,,201.0,1664.0,362.0,487.0
ANDHRA PRADESH,PRAKASAM,2025-03-01,,,,2116.0,27970.0,11991.0,7242.0
ANDHRA PRADESH,RANGAREDDI,2025-03-01,,,,463.0,3060.0,1114.0,5136.0
ANDHRA PRADESH,SPSR NELLORE,2025-03-01,,,,,,,
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2025-03-01,,,,392.0,2890.0,110.0,172.0
ANDHRA PRADESH,SRI SATHYA SAI,2025-03-01,,,,535.0,2386.0,738.0,463.0
ANDHRA PRADESH,SRIKAKULAM,2025-03-01,,,,5275.0,37687.0,22984.0,6997.0
ANDHRA PRADESH,TIRUPATI,2025-03-01,,,,478.0,4139.0,268.0,382.0
ANDHRA PRADESH,VISAKHAPATANAM,2025-03-01,,,,,,,
ANDHRA PRADESH,VISAKHAPATNAM,2025-03-01,,,,3222.0,36984.0,21850.0,15143.0
ANDHRA PRADESH,VIZIANAGARAM,2025-03-01,,,,2141.0,20324.0,11966.0,6473.0
ANDHRA PRADESH,WARANGAL,2025-03-01,,,,728.0,6167.0,1215.0,4034.0
ANDHRA PRADESH,WEST GODAVARI,2025-03-01,,,,2189.0,27673.0,15662.0,9674.0
ANDHRA PRADESH,Y. S. R,2025-03-01,,,,274.0,1877.0,259.0,301.0
ARUNACHAL PRADESH,ANJAW,2025-03-01,,,,24.0,210.0,55.0,79.0
ARUNACHAL PRADESH,CHANGLANG,2025-03-01,,,,73.0,1120.0,483.0,339.0
ARUNACHAL PRADESH,DIBANG VALLEY,2025-03-01,,,,,,15.0,41.0
ARUNACHAL PRADESH,EAST KAMENG,2025-03-01,,,,,,189.0,244.0
ARUNACHAL PRADESH,EAST SIANG,2025-03-01,,,,19.0,151.0,134.0,131.0
ARUNACHAL PRADESH,KAMLE,2025-03-01,,,,,,,
ARUNACHAL PRADESH,KRA DAADI,2025-03-01,,,,26.0,105.0,75.0,122.0
ARUNACHAL PRADESH,KURUNG KUMEY,2025-03-01,,,,,,93.0,536.0
ARUNACHAL PRADESH,LEPARADA,2025-03-01,,,,,,,
ARUNACHAL PRADESH,LOHIT,2025-03-01,,,,30.0,234.0,100.0,364.0
ARUNACHAL PRADESH,LONGDING,2025-03-01,,,,45.0,285.0,133.0,129.0
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2025-03-01,,,,36.0,249.0,80.0,117.0
ARUNACHAL PRADESH,LOWER SIANG,2025-03-01,,,,22.0,66.0,26.0,12.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,2025-03-01,,,,41.0,280.0,81.0,128.0
