date,state,district,bio_age_5_17,bio_age_17_
2025-03-01,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,16,193
2025-03-01,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,178,101
2025-03-01,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,470,347
2025-03-01,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,948,450
2025-03-01,ANDHRA PRADESH,ADILABAD,897,4366
2025-03-01,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,585,1408
2025-03-01,ANDHRA PRADESH,ANAKAPALLI,218,234
2025-03-01,ANDHRA PRADESH,ANANTAPUR,3363,6499
2025-03-01,ANDHRA PRADESH,ANANTHAPUR,11722,2215
2025-03-01,ANDHRA PRADESH,ANANTHAPURAMU,14063,2087
2025-03-01,ANDHRA PRADESH,ANNAMAYYA,235,270
2025-03-01,ANDHRA PRADESH,BAPATLA,114,131
2025-03-01,ANDHRA PRADESH,CHITTOOR,18773,9414
2025-03-01,ANDHRA PRADESH,CUDDAPAH,11599,5222
2025-03-01,ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,116,181
2025-03-01,ANDHRA PRADESH,EAST GODAVARI,18286,11512
2025-03-01,ANDHRA PRADESH,ELURU,171,308
2025-03-01,ANDHRA PRADESH,GUNTUR,19655,11604
2025-03-01,ANDHRA PRADESH,HYDERABAD,2070,9936
2025-03-01,ANDHRA PRADESH,K.V. RANGAREDDY,11,6
2025-03-01,ANDHRA PRADESH,KAKINADA,203,317
2025-03-01,ANDHRA PRADESH,KARIM NAGAR,26,117
2025-03-01,ANDHRA PRADESH,KARIMNAGAR,269,1150
2025-03-01,ANDHRA PRADESH,KHAMMAM,1070,2855
2025-03-01,ANDHRA PRADESH,KRISHNA,16816,9887
2025-03-01,ANDHRA PRADESH,KURNOOL,27662,10576
2025-03-01,ANDHRA PRADESH,MAHABUB NAGAR,45,269
2025-03-01,ANDHRA PRADESH,MAHBUBNAGAR,274,1114
2025-03-01,ANDHRA PRADESH,MEDAK,421,1488
2025-03-01,ANDHRA PRADESH,N. T. R,380,740
2025-03-01,ANDHRA PRADESH,NALGONDA,292,1601
2025-03-01,ANDHRA PRADESH,NANDYAL,283,280
2025-03-01,ANDHRA PRADESH,NELLORE,5113,6240
2025-03-01,ANDHRA PRADESH,NIZAMABAD,233,677
2025-03-01,ANDHRA PRADESH,PALNADU,293,311
2025-03-01,ANDHRA PRADESH,PARVATHIPURAM MANYAM,362,487
2025-03-01,ANDHRA PRADESH,PRAKASAM,11991,7242
2025-03-01,ANDHRA PRADESH,RANGAREDDI,1114,5136
2025-03-01,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,110,172
2025-03-01,ANDHRA PRADESH,SRI SATHYA SAI,738,463
2025-03-01,ANDHRA PRADESH,SRIKAKULAM,22984,6997
2025-03-01,ANDHRA PRADESH,TIRUPATI,268,382
2025-03-01,ANDHRA PRADESH,VISAKHAPATNAM,21850,15143
2025-03-01,ANDHRA PRADESH,VIZIANAGARAM,11966,6473
2025-03-01,ANDHRA PRADESH,WARANGAL,1215,4034
2025-03-01,ANDHRA PRADESH,WEST GODAVARI,15662,9674
2025-03-01,ANDHRA PRADESH,Y. S. R,259,301
2025-03-01,ARUNACHAL PRADESH,ANJAW,55,79
2025-03-01,ARUNACHAL PRADESH,CHANGLANG,483,339
2025-03-01,ARUNACHAL PRADESH,DIBANG VALLEY,15,41
2025-03-01,ARUNACHAL PRADESH,EAST KAMENG,189,244
2025-03-01,ARUNACHAL PRADESH,EAST SIANG,134,131
2025-03-01,ARUNACHAL PRADESH,KRA DAADI,75,122
2025-03-01,ARUNACHAL PRADESH,KURUNG KUMEY,93,536
2025-03-01,ARUNACHAL PRADESH,LOHIT,100,364
2025-03-01,ARUNACHAL PRADESH,LONGDING,133,129
2025-03-01,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,80,117
2025-03-01,ARUNACHAL PRADESH,LOWER SIANG,26,12
2025-03-01,ARUNACHAL PRADESH,LOWER SUBANSIRI,81,128
2025-03-01,ARUNACHAL PRADESH,NAMSAI,213,274
2025-03-01,ARUNACHAL PRADESH,PAKKE KESSANG,12,6
2025-03-01,ARUNACHAL PRADESH,PAPUM PARE,345,717
2025-03-01,ARUNACHAL PRADESH,SHI-YOMI,14,12
2025-03-01,ARUNACHAL PRADESH,SIANG,54,63
2025-03-01,ARUNACHAL PRADESH,TAWANG,120,78
2025-03-01,ARUNACHAL PRADESH,TIRAP,61,41
2025-03-01,ARUNACHAL PRADESH,UPPER SIANG,53,72
2025-03-01,ARUNACHAL PRADESH,UPPER SUBANSIRI,217,342
2025-03-01,ARUNACHAL PRADESH,WEST KAMENG,188,425
2025-03-01,ARUNACHAL PRADESH,WEST SIANG,212,175
2025-03-01,ASSAM,BAKSA,1333,527
2025-03-01,ASSAM,BARPETA,8751,2053
2025-03-01,ASSAM,BISWANATH,524,317
2025-03-01,ASSAM,BONGAIGAON,3011,1170
2025-03-01,ASSAM,CACHAR,1988,2199
2025-03-01,ASSAM,CHARAIDEO,415,202
2025-03-01,ASSAM,CHIRANG,1611,679
2025-03-01,ASSAM,DARRANG,663,942
2025-03-01,ASSAM,DHEMAJI,1622,834
2025-03-01,ASSAM,DHUBRI,6765,1655
2025-03-01,ASSAM,DIBRUGARH,1444,2315
2025-03-01,ASSAM,GOALPARA,715,734
2025-03-01,ASSAM,GOLAGHAT,704,704
2025-03-01,ASSAM,HAILAKANDI,355,439
2025-03-01,ASSAM,HOJAI,1585,1239
2025-03-01,ASSAM,JORHAT,867,571
2025-03-01,ASSAM,KAMRUP,2602,1197
2025-03-01,ASSAM,KAMRUP METRO,1936,1525
2025-03-01,ASSAM,KARBI ANGLONG,1984,1047
2025-03-01,ASSAM,KARIMGANJ,963,859
2025-03-01,ASSAM,KOKRAJHAR,3407,873
2025-03-01,ASSAM,LAKHIMPUR,1470,1353
2025-03-01,ASSAM,MAJULI,343,101
2025-03-01,ASSAM,MARIGAON,2305,1218
2025-03-01,ASSAM,NAGAON,3208,5081
2025-03-01,ASSAM,NALBARI,2028,335
2025-03-01,ASSAM,NORTH CACHAR HILLS,79,104
2025-03-01,ASSAM,SIBSAGAR,801,310
2025-03-01,ASSAM,SONITPUR,1830,1158
2025-03-01,ASSAM,SOUTH SALMARA MANKACHAR,249,133
2025-03-01,ASSAM,TINSUKIA,1135,846
2025-03-01,ASSAM,UDALGURI,2332,951
2025-03-01,ASSAM,WEST KARBI ANGLONG,76,159
2025-03-01,BIHAR,ARARIA,13043,13990
2025-03-01,BIHAR,ARWAL,1438,3294
2025-03-01,BIHAR,AURANGABAD,6082,7741
2025-03-01,BIHAR,BANKA,6904,7892
2025-03-01,BIHAR,BEGUSARAI,13077,12307
2025-03-01,BIHAR,BHAGALPUR,13344,11954
2025-03-01,BIHAR,BHOJPUR,5124,12146
2025-03-01,BIHAR,BUXAR,3200,5001
2025-03-01,BIHAR,DARBHANGA,13331,17721
2025-03-01,BIHAR,EAST CHAMPARAN,13825,20084
2025-03-01,BIHAR,GAYA,16486,21241
2025-03-01,BIHAR,GOPALGANJ,6451,7603
2025-03-01,BIHAR,JAMUI,6531,6134
2025-03-01,BIHAR,JEHANABAD,2391,4017
2025-03-01,BIHAR,KAIMUR (BHABUA),6479,7450
2025-03-01,BIHAR,KATIHAR,16676,16958
2025-03-01,BIHAR,KHAGARIA,6128,6877
2025-03-01,BIHAR,KISHANGANJ,7612,8682
2025-03-01,BIHAR,LAKHISARAI,3715,3972
2025-03-01,BIHAR,MADHEPURA,6355,11462
2025-03-01,BIHAR,MADHUBANI,16996,20887
2025-03-01,BIHAR,MUNGER,3099,4705
2025-03-01,BIHAR,MUZAFFARPUR,13651,18161
2025-03-01,BIHAR,NALANDA,6154,11926
2025-03-01,BIHAR,NAWADA,6780,9577
2025-03-01,BIHAR,PATNA,11916,18174
2025-03-01,BIHAR,PURNEA,112,435
2025-03-01,BIHAR,PURNIA,13497,17552
2025-03-01,BIHAR,ROHTAS,7472,9366
2025-03-01,BIHAR,SAHARSA,6272,12430
2025-03-01,BIHAR,SAMASTIPUR,13667,19484
2025-03-01,BIHAR,SARAN,7779,13089
2025-03-01,BIHAR,SHEIKHPURA,1885,3455
2025-03-01,BIHAR,SHEOHAR,1803,3248
2025-03-01,BIHAR,SITAMARHI,11896,16604
2025-03-01,BIHAR,SIWAN,6752,10438
2025-03-01,BIHAR,SUPAUL,6821,11721
2025-03-01,BIHAR,VAISHALI,9704,16175
2025-03-01,BIHAR,WEST CHAMPARAN,9731,15377
2025-03-01,CHANDIGARH,CHANDIGARH,3053,3377
2025-03-01,CHHATTISGARH,BALOD,982,4832
2025-03-01,CHHATTISGARH,BALODA BAZAR,1619,5092
2025-03-01,CHHATTISGARH,BALRAMPUR,522,1411
2025-03-01,CHHATTISGARH,BASTAR,990,4272
2025-03-01,CHHATTISGARH,BEMETARA,1030,7139
2025-03-01,CHHATTISGARH,BIJAPUR,1452,1742
2025-03-01,CHHATTISGARH,BILASPUR,2414,9589
2025-03-01,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,439,1084
2025-03-01,CHHATTISGARH,DANTEWADA,189,525
2025-03-01,CHHATTISGARH,DHAMTARI,748,5784
2025-03-01,CHHATTISGARH,DURG,2548,10749
2025-03-01,CHHATTISGARH,GARIYABAND,471,1694
2025-03-01,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,11,105
2025-03-01,CHHATTISGARH,JANJGIR-CHAMPA,2728,10158
2025-03-01,CHHATTISGARH,JASHPUR,823,3469
2025-03-01,CHHATTISGARH,KABEERDHAM,407,1250
2025-03-01,CHHATTISGARH,KANKER,547,2455
