date,state,district,demo_age_5_17,demo_age_17_
2025-03-01,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,32,360
2025-03-01,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,20,402
2025-03-01,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,74,450
2025-03-01,ANDHRA PRADESH,ADILABAD,390,3950
2025-03-01,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,507,4448
2025-03-01,ANDHRA PRADESH,ANAKAPALLI,373,2791
2025-03-01,ANDHRA PRADESH,ANANTAPUR,953,19013
2025-03-01,ANDHRA PRADESH,ANANTHAPUR,2020,7310
2025-03-01,ANDHRA PRADESH,ANANTHAPURAMU,2547,7891
2025-03-01,ANDHRA PRADESH,ANNAMAYYA,526,3272
2025-03-01,ANDHRA PRADESH,BAPATLA,232,1653
2025-03-01,ANDHRA PRADESH,CHITTOOR,4070,38298
2025-03-01,ANDHRA PRADESH,CUDDAPAH,1786,16961
2025-03-01,ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,240,2136
2025-03-01,ANDHRA PRADESH,EAST GODAVARI,3391,37620
2025-03-01,ANDHRA PRADESH,ELURU,283,2536
2025-03-01,ANDHRA PRADESH,GUNTUR,3060,40302
2025-03-01,ANDHRA PRADESH,HYDERABAD,695,6045
2025-03-01,ANDHRA PRADESH,KAKINADA,638,4748
2025-03-01,ANDHRA PRADESH,KARIMNAGAR,93,766
2025-03-01,ANDHRA PRADESH,KHAMMAM,431,4962
2025-03-01,ANDHRA PRADESH,KRISHNA,1711,21831
2025-03-01,ANDHRA PRADESH,KURNOOL,3650,31715
2025-03-01,ANDHRA PRADESH,MAHABUB NAGAR,26,184
2025-03-01,ANDHRA PRADESH,MAHBUBNAGAR,169,1133
2025-03-01,ANDHRA PRADESH,MEDAK,215,1387
2025-03-01,ANDHRA PRADESH,N. T. R,775,6936
2025-03-01,ANDHRA PRADESH,NALGONDA,146,2240
2025-03-01,ANDHRA PRADESH,NANDYAL,339,2135
2025-03-01,ANDHRA PRADESH,NELLORE,944,16115
2025-03-01,ANDHRA PRADESH,NIZAMABAD,53,476
2025-03-01,ANDHRA PRADESH,PALNADU,323,2765
2025-03-01,ANDHRA PRADESH,PARVATHIPURAM MANYAM,201,1664
2025-03-01,ANDHRA PRADESH,PRAKASAM,2116,27970
2025-03-01,ANDHRA PRADESH,RANGAREDDI,463,3060
2025-03-01,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,392,2890
2025-03-01,ANDHRA PRADESH,SRI SATHYA SAI,535,2386
2025-03-01,ANDHRA PRADESH,SRIKAKULAM,5275,37687
2025-03-01,ANDHRA PRADESH,TIRUPATI,478,4139
2025-03-01,ANDHRA PRADESH,VISAKHAPATNAM,3222,36984
2025-03-01,ANDHRA PRADESH,VIZIANAGARAM,2141,20324
2025-03-01,ANDHRA PRADESH,WARANGAL,728,6167
2025-03-01,ANDHRA PRADESH,WEST GODAVARI,2189,27673
2025-03-01,ANDHRA PRADESH,Y. S. R,274,1877
2025-03-01,ARUNACHAL PRADESH,ANJAW,24,210
2025-03-01,ARUNACHAL PRADESH,CHANGLANG,73,1120
2025-03-01,ARUNACHAL PRADESH,EAST SIANG,19,151
2025-03-01,ARUNACHAL PRADESH,KRA DAADI,26,105
2025-03-01,ARUNACHAL PRADESH,LOHIT,30,234
2025-03-01,ARUNACHAL PRADESH,LONGDING,45,285
2025-03-01,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,36,249
2025-03-01,ARUNACHAL PRADESH,LOWER SIANG,22,66
2025-03-01,ARUNACHAL PRADESH,LOWER SUBANSIRI,41,280
2025-03-01,ARUNACHAL PRADESH,NAMSAI,50,553
2025-03-01,ARUNACHAL PRADESH,PAPUM PARE,163,1311
2025-03-01,ARUNACHAL PRADESH,SIANG,25,159
2025-03-01,ARUNACHAL PRADESH,TAWANG,27,117
2025-03-01,ARUNACHAL PRADESH,TIRAP,18,235
2025-03-01,ARUNACHAL PRADESH,UPPER SIANG,12,40
2025-03-01,ARUNACHAL PRADESH,UPPER SUBANSIRI,106,570
2025-03-01,ARUNACHAL PRADESH,WEST KAMENG,25,116
2025-03-01,ARUNACHAL PRADESH,WEST SIANG,110,1156
2025-03-01,ASSAM,BAKSA,397,4438
2025-03-01,ASSAM,BARPETA,821,9181
2025-03-01,ASSAM,BISWANATH,227,2732
2025-03-01,ASSAM,BONGAIGAON,699,8681
2025-03-01,ASSAM,CACHAR,1234,10000
2025-03-01,ASSAM,CHARAIDEO,145,1953
2025-03-01,ASSAM,CHIRANG,179,1711
2025-03-01,ASSAM,DARRANG,661,5819
2025-03-01,ASSAM,DHEMAJI,534,5979
2025-03-01,ASSAM,DHUBRI,1070,10824
2025-03-01,ASSAM,DIBRUGARH,338,5542
2025-03-01,ASSAM,GOALPARA,768,6461
2025-03-01,ASSAM,GOLAGHAT,587,8416
2025-03-01,ASSAM,HAILAKANDI,211,1822
2025-03-01,ASSAM,HOJAI,319,3439
2025-03-01,ASSAM,JORHAT,320,5231
2025-03-01,ASSAM,KAMRUP,319,5222
2025-03-01,ASSAM,KAMRUP METRO,579,5320
2025-03-01,ASSAM,KARBI ANGLONG,675,6192
2025-03-01,ASSAM,KARIMGANJ,567,5374
2025-03-01,ASSAM,KOKRAJHAR,538,3272
2025-03-01,ASSAM,LAKHIMPUR,577,9766
2025-03-01,ASSAM,MAJULI,55,569
2025-03-01,ASSAM,MARIGAON,1006,7948
2025-03-01,ASSAM,NAGAON,1216,16723
2025-03-01,ASSAM,NALBARI,509,4658
2025-03-01,ASSAM,NORTH CACHAR HILLS,74,648
2025-03-01,ASSAM,SIBSAGAR,146,1460
2025-03-01,ASSAM,SONITPUR,802,9796
2025-03-01,ASSAM,SOUTH SALMARA MANKACHAR,197,3153
2025-03-01,ASSAM,TINSUKIA,499,7786
2025-03-01,ASSAM,UDALGURI,367,4869
2025-03-01,ASSAM,WEST KARBI ANGLONG,56,360
2025-03-01,BIHAR,ARARIA,2774,32707
2025-03-01,BIHAR,ARWAL,558,5961
2025-03-01,BIHAR,AURANGABAD,2788,23698
2025-03-01,BIHAR,BANKA,2100,23353
2025-03-01,BIHAR,BEGUSARAI,3601,28482
2025-03-01,BIHAR,BHAGALPUR,4949,37353
2025-03-01,BIHAR,BHOJPUR,2688,29327
2025-03-01,BIHAR,BUXAR,1661,18351
2025-03-01,BIHAR,DARBHANGA,2612,28474
2025-03-01,BIHAR,EAST CHAMPARAN,4175,47030
2025-03-01,BIHAR,GAYA,5828,49924
2025-03-01,BIHAR,GOPALGANJ,2129,22709
2025-03-01,BIHAR,JAMUI,1393,15286
2025-03-01,BIHAR,JEHANABAD,988,8898
2025-03-01,BIHAR,KAIMUR (BHABUA),847,8728
2025-03-01,BIHAR,KATIHAR,2845,33082
2025-03-01,BIHAR,KHAGARIA,1450,12708
2025-03-01,BIHAR,KISHANGANJ,1811,25016
2025-03-01,BIHAR,LAKHISARAI,777,7918
2025-03-01,BIHAR,MADHEPURA,1283,17649
2025-03-01,BIHAR,MADHUBANI,3407,41495
2025-03-01,BIHAR,MUNGER,992,13363
2025-03-01,BIHAR,MUZAFFARPUR,4456,42818
2025-03-01,BIHAR,NALANDA,2310,21564
2025-03-01,BIHAR,NAWADA,1429,16428
