state,district,mean_update_to_enrolment_ratio,mean_update_dependency,update_to_enrolment_ratio_volatility,dependency_volatility,pct_active_months,activity_growth_slope,maturity_cluster,mean_monthly_activity
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,106.58363095238096,0.8795675896808696,97.41609807884387,0.3097727934535821,0.9,42.7030303030303,0,284.0
ANDAMAN & NICOBAR ISLANDS,NICOBARS,0.55,0.1633333333333333,1.2572014777097409,0.2856441712911233,0.3,0.2606060606060606,1,0.7
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,6.728472222222223,0.3760712521937537,9.163387022031484,0.4856115855341806,0.4,26.37575757575758,1,71.0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,149.5324488011988,0.8737437465629428,207.0288781018975,0.3088900886316241,0.9,-9.145454545454545,0,267.3
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,501.6771618625277,0.8843970738782241,563.3519268224153,0.3112742512344286,0.9,-12.933333333333334,0,852.4
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,674.5678323532803,0.8884266917423014,725.6665970421459,0.3124645470661183,0.9,55.93333333333334,0,1370.1
ANDHRA PRADESH,ADILABAD,2952.720897521188,0.8892781767553297,3523.1624483295523,0.3128736283958027,0.9,1021.5636363636364,0,8274.8
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1600.8681724335918,0.8685375567632233,2209.379973375404,0.3080040816184978,0.9,48.81818181818185,0,3273.3
ANDHRA PRADESH,ANAKAPALLI,835.3407425012663,0.8800303200718258,1143.6946255337127,0.3103517467790291,0.9,208.21818181818185,0,2072.6
ANDHRA PRADESH,ANANTAPUR,7389.462129176049,0.8792301237929687,9676.180509785392,0.3103827306832171,0.9,864.6121212121212,3,16672.5
ANDHRA PRADESH,ANANTHAPUR,7003.307833061168,0.8805253495114679,8711.226710341984,0.3106602590662886,0.9,-840.9939393939395,0,11615.2
ANDHRA PRADESH,ANANTHAPURAMU,11335.803114632145,0.8742611064057824,12617.622467173596,0.3094450973716255,0.9,-1651.4,3,16873.3
