state,district,mean_cci,min_cci
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,0.8487773431913622,0.0
ANDAMAN & NICOBAR ISLANDS,NICOBARS,0.05,0.0
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,0.34255189255189256,0.0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0.8316620837311376,0.0
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,0.8711542747512062,0.0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0.845994940439627,0.0
ANDHRA PRADESH,ADILABAD,0.754645302044864,0.0
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,0.7501804750795278,0.0
ANDHRA PRADESH,ANAKAPALLI,0.5978063624350934,0.0
ANDHRA PRADESH,ANANTAPUR,0.7317950165196263,0.0
ANDHRA PRADESH,ANANTHAPUR,0.758993791641206,0.0
ANDHRA PRADESH,ANANTHAPURAMU,0.7599204486163693,0.0
ANDHRA PRADESH,ANNAMAYYA,0.43624739593357925,0.0
ANDHRA PRADESH,BAPATLA,0.5676728429186613,0.0
ANDHRA PRADESH,CHITTOOR,0.7466028412612989,0.0
ANDHRA PRADESH,CUDDAPAH,0.8026258106141043,0.0
ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,0.6343256997419375,0.0
ANDHRA PRADESH,EAST GODAVARI,0.8100314133398893,0.0
ANDHRA PRADESH,ELURU,0.6016728972376495,0.0
ANDHRA PRADESH,GUNTUR,0.7815636875503451,0.0
ANDHRA PRADESH,HYDERABAD,0.7595340277233792,0.0
ANDHRA PRADESH,K.V. RANGAREDDY,0.5150095110809396,0.0
ANDHRA PRADESH,K.V.RANGAREDDY,0.3758093818749556,0.0
ANDHRA PRADESH,KAKINADA,0.576968892316813,0.0
ANDHRA PRADESH,KARIM NAGAR,0.7718326810961514,0.0
ANDHRA PRADESH,KARIMNAGAR,0.7610743367146239,0.0
ANDHRA PRADESH,KHAMMAM,0.7356597312360027,0.0
ANDHRA PRADESH,KRISHNA,0.8074337451334582,0.0
ANDHRA PRADESH,KURNOOL,0.7805107339393011,0.0
ANDHRA PRADESH,MAHABUB NAGAR,0.6180964456812216,0.0
ANDHRA PRADESH,MAHABUBNAGAR,0.2781713900134953,0.0
ANDHRA PRADESH,MAHBUBNAGAR,0.6878727552940626,0.0
ANDHRA PRADESH,MEDAK,0.7424507045388877,0.0
ANDHRA PRADESH,N. T. R,0.5308837479350561,0.0
ANDHRA PRADESH,NALGONDA,0.7303556105161592,0.0
ANDHRA PRADESH,NANDYAL,0.5127795929145402,0.0
ANDHRA PRADESH,NELLORE,0.8081740759198782,0.0
ANDHRA PRADESH,NIZAMABAD,0.7755737025307894,0.0
ANDHRA PRADESH,PALNADU,0.5422629376387277,0.0
ANDHRA PRADESH,PARVATHIPURAM MANYAM,0.6592268737742141,0.0
ANDHRA PRADESH,PRAKASAM,0.7747395744471377,0.0
ANDHRA PRADESH,RANGAREDDI,0.7389463309596945,0.0
ANDHRA PRADESH,SPSR NELLORE,0.0,0.0
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.5708245491164089,0.0
ANDHRA PRADESH,SRI SATHYA SAI,0.5099572959364693,0.0
ANDHRA PRADESH,SRIKAKULAM,0.7318769541599183,0.0
ANDHRA PRADESH,TIRUPATI,0.4749906963127182,0.0
ANDHRA PRADESH,VISAKHAPATANAM,0.0,0.0
ANDHRA PRADESH,VISAKHAPATNAM,0.8028497771567842,0.0
ANDHRA PRADESH,VIZIANAGARAM,0.7945438212514594,0.0
ANDHRA PRADESH,WARANGAL,0.7424413771593222,0.0
ANDHRA PRADESH,WEST GODAVARI,0.802069686161363,0.0
ANDHRA PRADESH,Y. S. R,0.47957493547944247,0.0
ARUNACHAL PRADESH,ANJAW,0.7413759130482502,0.0
ARUNACHAL PRADESH,CHANGLANG,0.7838235360760375,0.0
ARUNACHAL PRADESH,DIBANG VALLEY,0.7649895944997089,0.0
ARUNACHAL PRADESH,EAST KAMENG,0.8093214105674857,0.0
ARUNACHAL PRADESH,EAST SIANG,0.7695911865094509,0.0
ARUNACHAL PRADESH,KAMLE,0.28126602944047163,0.0
ARUNACHAL PRADESH,KRA DAADI,0.6964513798119641,0.0
ARUNACHAL PRADESH,KURUNG KUMEY,0.8200859454726835,0.0
ARUNACHAL PRADESH,LEPARADA,0.2529878618113912,0.0
ARUNACHAL PRADESH,LOHIT,0.7891972578716342,0.0
ARUNACHAL PRADESH,LONGDING,0.6392002566814148,0.0
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0.7774711335322207,0.0
ARUNACHAL PRADESH,LOWER SIANG,0.4416679958696766,0.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,0.7614611219283243,0.0
ARUNACHAL PRADESH,NAMSAI,0.791713811886989,0.0
ARUNACHAL PRADESH,PAKKE KESSANG,0.29320054945054946,0.0
ARUNACHAL PRADESH,PAPUM PARE,0.7576516888505138,0.0
ARUNACHAL PRADESH,SHI-YOMI,0.702967109315286,0.0
ARUNACHAL PRADESH,SIANG,0.7331114798230018,0.0
ARUNACHAL PRADESH,TAWANG,0.80075328528361,0.0
ARUNACHAL PRADESH,TIRAP,0.809065854685467,0.0
ARUNACHAL PRADESH,UPPER SIANG,0.7718411240466101,0.0
ARUNACHAL PRADESH,UPPER SUBANSIRI,0.7710037806865161,0.0
ARUNACHAL PRADESH,WEST KAMENG,0.7833165410714772,0.0
ARUNACHAL PRADESH,WEST SIANG,0.774776135662359,0.0
ASSAM,BAJALI,0.024779568257829128,0.0
ASSAM,BAKSA,0.7463589637749728,0.0
ASSAM,BARPETA,0.7879700964849539,0.0
ASSAM,BISWANATH,0.751958881691592,0.0
ASSAM,BONGAIGAON,0.7739495198618148,0.0
ASSAM,CACHAR,0.7184384378826094,0.0
ASSAM,CHARAIDEO,0.7632976715476412,0.0
ASSAM,CHIRANG,0.7873232729088308,0.0
ASSAM,DARRANG,0.6947864513877617,0.0
ASSAM,DHEMAJI,0.6995538236747375,0.0
ASSAM,DHUBRI,0.7106465786601779,0.0
ASSAM,DIBRUGARH,0.7233672924226954,0.0
ASSAM,DIMA HASAO,0.08032467532467533,0.0
ASSAM,GOALPARA,0.6564402908069285,0.0
ASSAM,GOLAGHAT,0.5846734795449187,0.0
ASSAM,HAILAKANDI,0.7088377838361858,0.0
ASSAM,HOJAI,0.7285108900381372,0.0
ASSAM,JORHAT,0.7522839885658943,0.0
ASSAM,KAMRUP,0.7296478255751141,0.0
ASSAM,KAMRUP METRO,0.7057312605621667,0.0
ASSAM,KARBI ANGLONG,0.7274893194180599,0.0
ASSAM,KARIMGANJ,0.6488386814589379,0.0
ASSAM,KOKRAJHAR,0.7394117255594355,0.0
ASSAM,LAKHIMPUR,0.6999774250852729,0.0
ASSAM,MAJULI,0.7318387894160465,0.0
ASSAM,MARIGAON,0.6483214593619835,0.0
ASSAM,NAGAON,0.7427442054230795,0.0
ASSAM,NALBARI,0.778641109021567,0.0
ASSAM,NORTH CACHAR HILLS,0.7034494499083961,0.0
ASSAM,SIBSAGAR,0.768476362846624,0.0
ASSAM,SIVASAGAR,0.0,0.0
ASSAM,SONITPUR,0.6905607015677802,0.0
ASSAM,SOUTH SALMARA MANKACHAR,0.6333650781816534,0.0
ASSAM,SRIBHUMI,0.0668936420722135,0.0
ASSAM,TAMULPUR DISTRICT,0.061520737327188935,0.0
ASSAM,TINSUKIA,0.6471003577807887,0.0
ASSAM,UDALGURI,0.7520503355659554,0.0
ASSAM,WEST KARBI ANGLONG,0.45425819495798797,0.0
BALANAGAR,IDPL COLONY,0.0,0.0
BIHAR,ARARIA,0.7232993870839206,0.0
BIHAR,ARWAL,0.6347011161568336,0.0
BIHAR,AURANGABAD,0.6736554483140231,0.0
BIHAR,AURANGABAD(BH),0.10369100209253661,0.0
BIHAR,BANKA,0.7007487721276899,0.0
BIHAR,BEGUSARAI,0.7096369879385367,0.0
BIHAR,BHABUA,0.04583333333333333,0.0
BIHAR,BHAGALPUR,0.6532443118808093,0.0
BIHAR,BHOJPUR,0.6286128442687293,0.0
BIHAR,BUXAR,0.6421010557946376,0.0
BIHAR,DARBHANGA,0.7358075096989287,0.0
BIHAR,EAST CHAMPARAN,0.6533836874560198,0.0
BIHAR,GAYA,0.5932696000648812,0.0
BIHAR,GOPALGANJ,0.6341273052447596,0.0
BIHAR,JAMUI,0.7149544195940528,0.0
BIHAR,JEHANABAD,0.6207577509632187,0.0
BIHAR,KAIMUR (BHABUA),0.6991589571835454,0.0
BIHAR,KATIHAR,0.751846594953991,0.0
BIHAR,KHAGARIA,0.6997902717289797,0.0
BIHAR,KISHANGANJ,0.7720162002866109,0.0
BIHAR,LAKHISARAI,0.6681708117735621,0.0
BIHAR,MADHEPURA,0.7215007390069388,0.0
BIHAR,MADHUBANI,0.7040585440455336,0.0
BIHAR,MONGHYR,0.06818181818181819,0.0
BIHAR,MUNGER,0.6628809454396094,0.0
BIHAR,MUZAFFARPUR,0.6597714167373091,0.0
BIHAR,NALANDA,0.6276262648773576,0.0
BIHAR,NAWADA,0.6115550095140307,0.0
BIHAR,PASHCHIM CHAMPARAN,0.21977557151893015,0.0
BIHAR,PATNA,0.6323062488378592,0.0
BIHAR,PURBA CHAMPARAN,0.09722222222222222,0.0
BIHAR,PURBI CHAMPARAN,0.0,0.0
BIHAR,PURNEA,0.7331309248895812,0.0
BIHAR,PURNIA,0.7333664374765348,0.0
BIHAR,ROHTAS,0.6991411587250831,0.0
BIHAR,SAHARSA,0.6809828356285205,0.0
BIHAR,SAMASTIPUR,0.7031445972998374,0.0
BIHAR,SAMSTIPUR,0.07540458937198068,0.0
BIHAR,SARAN,0.621718740899963,0.0
BIHAR,SHEIKHPURA,0.7379052765726775,0.0
BIHAR,SHEIKPURA,0.06136363636363636,0.0
BIHAR,SHEOHAR,0.7049110248841781,0.0
BIHAR,SITAMARHI,0.6379522726398424,0.0
BIHAR,SIWAN,0.6650251188234826,0.0
BIHAR,SUPAUL,0.7217763450260323,0.0
BIHAR,VAISHALI,0.6897529542735591,0.0
BIHAR,WEST CHAMPARAN,0.6176358413299463,0.0
CHANDIGARH,CHANDIGARH,0.6466363419540925,0.0
CHANDIGARH,MOHALI,0.1,0.0
CHANDIGARH,RUPNAGAR,0.15,0.0
CHHATISGARH,RAIPUR,0.06666666666666667,0.0
CHHATTISGARH,BALOD,0.7054160175543364,0.0
CHHATTISGARH,BALODA BAZAR,0.7632263369252288,0.0
CHHATTISGARH,BALRAMPUR,0.6983568771783352,0.0
CHHATTISGARH,BASTAR,0.6416468309950165,0.0
CHHATTISGARH,BEMETARA,0.7616551681989453,0.0
CHHATTISGARH,BIJAPUR,0.6943515878634603,0.0
CHHATTISGARH,BILASPUR,0.7296341471499072,0.0
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,0.7655317286295562,0.0
CHHATTISGARH,DANTEWADA,0.7824174209895283,0.0
CHHATTISGARH,DHAMTARI,0.7799002724007921,0.0
CHHATTISGARH,DURG,0.7449901314327066,0.0
CHHATTISGARH,GARIYABAND,0.8066808983068455,0.0
CHHATTISGARH,GAURELA-PENDRA-MARWAHI,0.6001231370144795,0.0
CHHATTISGARH,GAURELLA PENDRA MARWAHI,0.0,0.0
CHHATTISGARH,JANJGIR - CHAMPA,0.0738095238095238,0.0
CHHATTISGARH,JANJGIR CHAMPA,0.21875,0.0
