,state,district,active_months,total_months,pct_active_months,dormancy_index,max_dormant_streak
0,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,9,10,0.9,0.09999999999999998,1
1,ANDAMAN & NICOBAR ISLANDS,NICOBARS,3,10,0.3,0.7,6
2,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,4,10,0.4,0.6,6
3,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,9,10,0.9,0.09999999999999998,1
4,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,9,10,0.9,0.09999999999999998,1
5,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,9,10,0.9,0.09999999999999998,1
6,ANDHRA PRADESH,ADILABAD,9,10,0.9,0.09999999999999998,1
7,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,9,10,0.9,0.09999999999999998,1
8,ANDHRA PRADESH,ANAKAPALLI,9,10,0.9,0.09999999999999998,1
9,ANDHRA PRADESH,ANANTAPUR,9,10,0.9,0.09999999999999998,1
10,ANDHRA PRADESH,ANANTHAPUR,9,10,0.9,0.09999999999999998,1
11,ANDHRA PRADESH,ANANTHAPURAMU,9,10,0.9,0.09999999999999998,1
12,ANDHRA PRADESH,ANNAMAYYA,9,10,0.9,0.09999999999999998,1
13,ANDHRA PRADESH,BAPATLA,9,10,0.9,0.09999999999999998,1
14,ANDHRA PRADESH,CHITTOOR,9,10,0.9,0.09999999999999998,1
15,ANDHRA PRADESH,CUDDAPAH,9,10,0.9,0.09999999999999998,1
16,ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,9,10,0.9,0.09999999999999998,1
17,ANDHRA PRADESH,EAST GODAVARI,9,10,0.9,0.09999999999999998,1
18,ANDHRA PRADESH,ELURU,9,10,0.9,0.09999999999999998,1
19,ANDHRA PRADESH,GUNTUR,9,10,0.9,0.09999999999999998,1
20,ANDHRA PRADESH,HYDERABAD,9,10,0.9,0.09999999999999998,1
21,ANDHRA PRADESH,K.V. RANGAREDDY,6,10,0.6,0.4,2
22,ANDHRA PRADESH,K.V.RANGAREDDY,5,10,0.5,0.5,4
23,ANDHRA PRADESH,KAKINADA,9,10,0.9,0.09999999999999998,1
24,ANDHRA PRADESH,KARIM NAGAR,9,10,0.9,0.09999999999999998,1
25,ANDHRA PRADESH,KARIMNAGAR,9,10,0.9,0.09999999999999998,1
26,ANDHRA PRADESH,KHAMMAM,9,10,0.9,0.09999999999999998,1
27,ANDHRA PRADESH,KRISHNA,9,10,0.9,0.09999999999999998,1
28,ANDHRA PRADESH,KURNOOL,9,10,0.9,0.09999999999999998,1
29,ANDHRA PRADESH,MAHABUB NAGAR,9,10,0.9,0.09999999999999998,1
30,ANDHRA PRADESH,MAHABUBNAGAR,4,10,0.4,0.6,6
31,ANDHRA PRADESH,MAHBUBNAGAR,9,10,0.9,0.09999999999999998,1
32,ANDHRA PRADESH,MEDAK,9,10,0.9,0.09999999999999998,1
33,ANDHRA PRADESH,N. T. R,9,10,0.9,0.09999999999999998,1
34,ANDHRA PRADESH,NALGONDA,9,10,0.9,0.09999999999999998,1
35,ANDHRA PRADESH,NANDYAL,9,10,0.9,0.09999999999999998,1
36,ANDHRA PRADESH,NELLORE,9,10,0.9,0.09999999999999998,1
37,ANDHRA PRADESH,NIZAMABAD,9,10,0.9,0.09999999999999998,1
38,ANDHRA PRADESH,PALNADU,9,10,0.9,0.09999999999999998,1
39,ANDHRA PRADESH,PARVATHIPURAM MANYAM,9,10,0.9,0.09999999999999998,1
40,ANDHRA PRADESH,PRAKASAM,9,10,0.9,0.09999999999999998,1
41,ANDHRA PRADESH,RANGAREDDI,9,10,0.9,0.09999999999999998,1
42,ANDHRA PRADESH,SPSR NELLORE,3,10,0.3,0.7,5
43,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,9,10,0.9,0.09999999999999998,1
44,ANDHRA PRADESH,SRI SATHYA SAI,9,10,0.9,0.09999999999999998,1
45,ANDHRA PRADESH,SRIKAKULAM,9,10,0.9,0.09999999999999998,1
46,ANDHRA PRADESH,TIRUPATI,9,10,0.9,0.09999999999999998,1
47,ANDHRA PRADESH,VISAKHAPATANAM,1,10,0.1,0.9,6
48,ANDHRA PRADESH,VISAKHAPATNAM,9,10,0.9,0.09999999999999998,1
49,ANDHRA PRADESH,VIZIANAGARAM,9,10,0.9,0.09999999999999998,1
50,ANDHRA PRADESH,WARANGAL,9,10,0.9,0.09999999999999998,1
51,ANDHRA PRADESH,WEST GODAVARI,9,10,0.9,0.09999999999999998,1
52,ANDHRA PRADESH,Y. S. R,9,10,0.9,0.09999999999999998,1
53,ARUNACHAL PRADESH,ANJAW,9,10,0.9,0.09999999999999998,1
54,ARUNACHAL PRADESH,CHANGLANG,9,10,0.9,0.09999999999999998,1
55,ARUNACHAL PRADESH,DIBANG VALLEY,9,10,0.9,0.09999999999999998,1
56,ARUNACHAL PRADESH,EAST KAMENG,9,10,0.9,0.09999999999999998,1
57,ARUNACHAL PRADESH,EAST SIANG,9,10,0.9,0.09999999999999998,1
58,ARUNACHAL PRADESH,KAMLE,6,10,0.6,0.4,3
59,ARUNACHAL PRADESH,KRA DAADI,9,10,0.9,0.09999999999999998,1
60,ARUNACHAL PRADESH,KURUNG KUMEY,9,10,0.9,0.09999999999999998,1
61,ARUNACHAL PRADESH,LEPARADA,4,10,0.4,0.6,6
62,ARUNACHAL PRADESH,LOHIT,9,10,0.9,0.09999999999999998,1
63,ARUNACHAL PRADESH,LONGDING,9,10,0.9,0.09999999999999998,1
64,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9,10,0.9,0.09999999999999998,1
65,ARUNACHAL PRADESH,LOWER SIANG,6,10,0.6,0.4,3
66,ARUNACHAL PRADESH,LOWER SUBANSIRI,9,10,0.9,0.09999999999999998,1
