state,district,mean_monthly_activity
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,284.0
ANDAMAN & NICOBAR ISLANDS,NICOBARS,0.7
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,71.0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,267.3
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,852.4
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,1370.1
ANDHRA PRADESH,ADILABAD,8274.8
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,3273.3
ANDHRA PRADESH,ANAKAPALLI,2072.6
ANDHRA PRADESH,ANANTAPUR,16672.5
ANDHRA PRADESH,ANANTHAPUR,11615.2
ANDHRA PRADESH,ANANTHAPURAMU,16873.3
ANDHRA PRADESH,ANNAMAYYA,4436.7
ANDHRA PRADESH,BAPATLA,1998.8
ANDHRA PRADESH,CHITTOOR,42927.3
ANDHRA PRADESH,CUDDAPAH,26039.7
ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,2212.7
ANDHRA PRADESH,EAST GODAVARI,46555.3
ANDHRA PRADESH,ELURU,2644.3
ANDHRA PRADESH,GUNTUR,47864.4
ANDHRA PRADESH,HYDERABAD,14679.0
ANDHRA PRADESH,K.V. RANGAREDDY,58.9
ANDHRA PRADESH,K.V.RANGAREDDY,136.0
ANDHRA PRADESH,KAKINADA,4093.6
ANDHRA PRADESH,KARIM NAGAR,293.0
ANDHRA PRADESH,KARIMNAGAR,2811.7
ANDHRA PRADESH,KHAMMAM,7445.9
ANDHRA PRADESH,KRISHNA,35183.3
ANDHRA PRADESH,KURNOOL,54004.8
ANDHRA PRADESH,MAHABUB NAGAR,2817.6
ANDHRA PRADESH,MAHABUBNAGAR,20.8
ANDHRA PRADESH,MAHBUBNAGAR,2535.8
ANDHRA PRADESH,MEDAK,3681.4
ANDHRA PRADESH,N. T. R,5256.2
ANDHRA PRADESH,NALGONDA,6366.4
ANDHRA PRADESH,NANDYAL,3893.0
ANDHRA PRADESH,NELLORE,23196.7
ANDHRA PRADESH,NIZAMABAD,1704.4
ANDHRA PRADESH,PALNADU,3640.8
ANDHRA PRADESH,PARVATHIPURAM MANYAM,2052.9
ANDHRA PRADESH,PRAKASAM,34042.0
ANDHRA PRADESH,RANGAREDDI,7874.4
ANDHRA PRADESH,SPSR NELLORE,218.3
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,3381.4
ANDHRA PRADESH,SRI SATHYA SAI,3346.0
ANDHRA PRADESH,SRIKAKULAM,33260.6
ANDHRA PRADESH,TIRUPATI,4534.7
ANDHRA PRADESH,VISAKHAPATANAM,22.6
ANDHRA PRADESH,VISAKHAPATNAM,47667.4
ANDHRA PRADESH,VIZIANAGARAM,24274.1
ANDHRA PRADESH,WARANGAL,8758.3
ANDHRA PRADESH,WEST GODAVARI,35315.5
ANDHRA PRADESH,Y. S. R,3761.7
ARUNACHAL PRADESH,ANJAW,196.8
ARUNACHAL PRADESH,CHANGLANG,1464.5
ARUNACHAL PRADESH,DIBANG VALLEY,64.1
ARUNACHAL PRADESH,EAST KAMENG,590.0
ARUNACHAL PRADESH,EAST SIANG,599.2
ARUNACHAL PRADESH,KAMLE,49.1
ARUNACHAL PRADESH,KRA DAADI,183.5
ARUNACHAL PRADESH,KURUNG KUMEY,380.0
ARUNACHAL PRADESH,LEPARADA,6.2
ARUNACHAL PRADESH,LOHIT,592.3
ARUNACHAL PRADESH,LONGDING,498.1
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,351.4
ARUNACHAL PRADESH,LOWER SIANG,78.3
ARUNACHAL PRADESH,LOWER SUBANSIRI,430.6
ARUNACHAL PRADESH,NAMSAI,828.8
ARUNACHAL PRADESH,PAKKE KESSANG,16.5
ARUNACHAL PRADESH,PAPUM PARE,1462.8
ARUNACHAL PRADESH,SHI-YOMI,80.2
ARUNACHAL PRADESH,SIANG,218.9
ARUNACHAL PRADESH,TAWANG,356.9
ARUNACHAL PRADESH,TIRAP,298.2
ARUNACHAL PRADESH,UPPER SIANG,316.0
ARUNACHAL PRADESH,UPPER SUBANSIRI,585.8
ARUNACHAL PRADESH,WEST KAMENG,830.9
ARUNACHAL PRADESH,WEST SIANG,839.0
ASSAM,BAJALI,89.6
ASSAM,BAKSA,3816.6
ASSAM,BARPETA,16894.6
ASSAM,BISWANATH,2190.2
ASSAM,BONGAIGAON,7890.7
ASSAM,CACHAR,14167.8
ASSAM,CHARAIDEO,1939.5
ASSAM,CHIRANG,4383.2
ASSAM,DARRANG,6217.9
ASSAM,DHEMAJI,4998.0
ASSAM,DHUBRI,15292.0
ASSAM,DIBRUGARH,6031.6
ASSAM,DIMA HASAO,55.5
ASSAM,GOALPARA,7808.9
ASSAM,GOLAGHAT,5958.3
ASSAM,HAILAKANDI,4800.3
ASSAM,HOJAI,6136.0
ASSAM,JORHAT,4095.4
ASSAM,KAMRUP,10150.2
ASSAM,KAMRUP METRO,5899.9
ASSAM,KARBI ANGLONG,7843.4
ASSAM,KARIMGANJ,9189.3
ASSAM,KOKRAJHAR,5613.7
ASSAM,LAKHIMPUR,7238.3
ASSAM,MAJULI,717.8
ASSAM,MARIGAON,8823.3
ASSAM,NAGAON,22812.9
ASSAM,NALBARI,4509.3
ASSAM,NORTH CACHAR HILLS,868.1
ASSAM,SIBSAGAR,2718.7
ASSAM,SIVASAGAR,42.2
ASSAM,SONITPUR,8289.0
ASSAM,SOUTH SALMARA MANKACHAR,2736.7
ASSAM,SRIBHUMI,561.3
ASSAM,TAMULPUR DISTRICT,139.3
ASSAM,TINSUKIA,6288.2
ASSAM,UDALGURI,4669.3
ASSAM,WEST KARBI ANGLONG,672.7
BALANAGAR,IDPL COLONY,0.2
BIHAR,ARARIA,32633.8
BIHAR,ARWAL,6234.0
BIHAR,AURANGABAD,21244.0
BIHAR,AURANGABAD(BH),103.9
BIHAR,BANKA,20742.1
BIHAR,BEGUSARAI,29340.7
BIHAR,BHABUA,19.6
BIHAR,BHAGALPUR,32440.2
BIHAR,BHOJPUR,25269.4
BIHAR,BUXAR,13817.0
BIHAR,DARBHANGA,38007.3
BIHAR,EAST CHAMPARAN,48948.5
BIHAR,GAYA,40774.7
BIHAR,GOPALGANJ,22449.9
BIHAR,JAMUI,15945.9
BIHAR,JEHANABAD,8867.4
BIHAR,KAIMUR (BHABUA),15300.0
BIHAR,KATIHAR,41392.4
BIHAR,KHAGARIA,16372.4
BIHAR,KISHANGANJ,29518.4
BIHAR,LAKHISARAI,10453.5
BIHAR,MADHEPURA,21812.5
BIHAR,MADHUBANI,44575.6
BIHAR,MONGHYR,43.0
BIHAR,MUNGER,11250.5
BIHAR,MUZAFFARPUR,44431.6
BIHAR,NALANDA,28502.0
BIHAR,NAWADA,18817.6
BIHAR,PASHCHIM CHAMPARAN,1783.2
BIHAR,PATNA,47743.0
BIHAR,PURBA CHAMPARAN,132.5
BIHAR,PURBI CHAMPARAN,1487.1
BIHAR,PURNEA,801.7
BIHAR,PURNIA,39202.5
BIHAR,ROHTAS,23739.4
BIHAR,SAHARSA,21410.6
BIHAR,SAMASTIPUR,42166.4
BIHAR,SAMSTIPUR,72.5
BIHAR,SARAN,34256.6
BIHAR,SHEIKHPURA,7171.0
BIHAR,SHEIKPURA,34.0
BIHAR,SHEOHAR,6742.4
BIHAR,SITAMARHI,39408.0
BIHAR,SIWAN,26483.7
BIHAR,SUPAUL,22969.2
BIHAR,VAISHALI,34176.1
BIHAR,WEST CHAMPARAN,43064.4
CHANDIGARH,CHANDIGARH,16051.8
CHANDIGARH,MOHALI,1.1
CHANDIGARH,RUPNAGAR,3.7
CHHATISGARH,RAIPUR,0.9
CHHATTISGARH,BALOD,14262.7
CHHATTISGARH,BALODA BAZAR,26196.1
CHHATTISGARH,BALRAMPUR,11873.4
CHHATTISGARH,BASTAR,18042.3
CHHATTISGARH,BEMETARA,17317.4
CHHATTISGARH,BIJAPUR,4765.5
CHHATTISGARH,BILASPUR,35731.9
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,3433.1
CHHATTISGARH,DANTEWADA,2203.6
CHHATTISGARH,DHAMTARI,13695.9
CHHATTISGARH,DURG,26109.5
CHHATTISGARH,GARIYABAND,8122.9
CHHATTISGARH,GAURELA-PENDRA-MARWAHI,585.4
CHHATTISGARH,GAURELLA PENDRA MARWAHI,98.3
CHHATTISGARH,JANJGIR - CHAMPA,44.8
CHHATTISGARH,JANJGIR CHAMPA,45.3
CHHATTISGARH,JANJGIR-CHAMPA,29745.3
CHHATTISGARH,JASHPUR,14816.9
CHHATTISGARH,KABEERDHAM,6057.3
CHHATTISGARH,KANKER,8375.4
CHHATTISGARH,KAWARDHA,12993.3
CHHATTISGARH,KHAIRAGARH CHHUIKHADAN GANDAI,738.4
CHHATTISGARH,KONDAGAON,12234.8
CHHATTISGARH,KORBA,18879.0
CHHATTISGARH,KORIYA,9439.5
CHHATTISGARH,MAHASAMUND,23811.7
CHHATTISGARH,MANENDRAGARHCHIRMIRIBHARATPUR,31.2
CHHATTISGARH,MANENDRAGARH–CHIRMIRI–BHARATPUR,568.8
CHHATTISGARH,MOHALLA-MANPUR-AMBAGARH CHOWKI,26.2
CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,2466.5
CHHATTISGARH,MUNGELI,15608.8
CHHATTISGARH,NARAYANPUR,3970.0
CHHATTISGARH,RAIGARH,26301.8
CHHATTISGARH,RAIPUR,33241.7
CHHATTISGARH,RAJNANDGAON,30680.1
CHHATTISGARH,SAKTI,1416.4
CHHATTISGARH,SARANGARH-BILAIGARH,928.4
CHHATTISGARH,SUKMA,4506.4
CHHATTISGARH,SURAJPUR,11686.6
CHHATTISGARH,SURGUJA,20209.9
CHHATTISGARH,UTTAR BASTAR KANKER,4475.7
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,81.3
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,3401.2
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,375.5
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,227.1
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,41.9
DAMAN & DIU,DAMAN,179.8
DAMAN & DIU,DIU,105.2
DAMAN AND DIU,DAMAN,519.5
DAMAN AND DIU,DIU,324.0
DARBHANGA,NEAR UNIVERSITY THANA,0.2
DELHI,CENTRAL DELHI,10705.4
DELHI,EAST DELHI,32060.2
DELHI,NAJAFGARH,107.0
DELHI,NEW DELHI,1026.1
DELHI,NORTH DELHI,15218.9
DELHI,NORTH EAST,6018.5
DELHI,NORTH EAST   *,0.2
DELHI,NORTH EAST DELHI,29635.7
DELHI,NORTH WEST DELHI,65532.5
DELHI,SHAHDARA,3820.7
DELHI,SOUTH DELHI,44982.0
DELHI,SOUTH EAST DELHI,181.1
DELHI,SOUTH WEST DELHI,32048.1
DELHI,WEST DELHI,42446.1
GOA,BARDEZ,7.3
GOA,BICHOLIM,0.4
GOA,NORTH GOA,5796.8
GOA,SOUTH GOA,4779.9
GOA,TISWADI,0.6
GUJARAT,AHMADABAD,3010.9
GUJARAT,AHMEDABAD,69250.4
GUJARAT,AMRELI,10069.5
GUJARAT,ANAND,15982.4
GUJARAT,ARVALLI,4015.6
